type,coordinates long,coordinates lat,category,name,info,area_total_m2,perimeter_total_m,area_perimeter_ratio_total
Feature,13.421721669157172,52.47723497324409,Grünanlage,Herrfurthplatz-Grünanlage,,3782.9,440.55,8.5867
Feature,13.4705759791005,52.46485508089909,Grünanlage,Herbert-Krause Park,,6341.0,347.85,18.2291
Feature,13.473057136484336,52.466147595313736,Grünanlage,Hänselstrasse,,3594.65,354.55,10.1385
Feature,13.475820426035183,52.46722197619511,Grünanlage,Heidekampgraben-Grünanlage,,27576.6,2416.83,11.4103
Feature,13.442725813105895,52.47500975748657,Grünanlage,Comeniusgarten,,7395.37,665.81,11.1073
Feature,13.470598857974299,52.46761602339858,Grünanlage,Von-der-Schulenburg-Park-Grünanlage,,38576.49,1339.62,28.7966
Feature,13.466247636097645,52.46869415147024,Grünanlage,Venusplatz-Grünanlage,,4315.06,379.74,11.3632
Feature,13.446441149951323,52.47548307960897,Grünanlage,Böhmische Strasse,,1367.7,181.03,7.5551
Feature,13.442562021745438,52.47668759837764,Grünanlage,Jan-Hus-Weg-Grünanlage,,648.5,120.18,5.3963
Feature,13.446447459128345,52.47425532418648,Grünanlage,Richardplatz-Grünanlage,,3719.3,701.23,5.304
Feature,13.41414920113469,52.48683354122783,Grünanlage,Volkspark Hasenheide-Grünanlage,,472816.29,6915.48,68.3708
Feature,13.448796746309723,52.47805079740826,Grünanlage,Hertzbergplatz-Grünanlage,,2205.43,326.71,6.7504
Feature,13.424027103262725,52.46979276295755,Grünanlage,Wartheplatz-Grünanlage,,3029.73,219.37,13.8111
Feature,13.436342916558472,52.471161263750005,Grünanlage,Selkestraße-Grünanlage,,2383.55,248.11,9.6069
Feature,13.436091535942513,52.47554008264066,Grünanlage,Lessinghöhe-Grünanlage,,26037.57,1220.26,21.3378
Feature,13.437544792696773,52.472359970901124,Grünanlage,Rübelandstraße,,8051.53,486.76,16.5411
Feature,13.437898349029894,52.47139334470833,Grünanlage,Körnerpark,,21089.25,616.56,34.2047
Feature,13.428706917698117,52.47997957245878,Grünanlage,Boddinplatz,,1323.46,173.39,7.6328
Feature,13.429635458050582,52.48921796462751,Grünanlage,Reuterplatz-Grünanlage,,5657.26,318.3,17.7732
Feature,13.447780765906574,52.48238179999128,Grünanlage,Truseplatz-Grünanlage,,3136.66,278.18,11.2756
Feature,13.422386758262387,52.476124183400664,Grünanlage,Schillerpromenade-Grünanlage,,5917.4,731.61,8.0882
Feature,13.436908454526366,52.473722584864284,Grünanlage,Thomashöhe-Grünanlage,,21368.37,953.9,22.4012
Feature,13.439290108324405,52.487815830722774,Grünanlage,Weichselplatz-Grünanlage,,10736.67,824.94,13.0151
Feature,13.444915027692769,52.48387628237414,Grünanlage,Wildenbruchplatz-Grünanlage,,13347.36,659.98,20.2238
Feature,13.494922774057434,52.408150890008564,Grünanlage,Meskengraben,,56301.9,5454.33,10.3224
Feature,13.49298191753367,52.41056496363493,Grünanlage,Rohrpfuhl-Grünanlage,,10993.29,1365.99,8.0479
Feature,13.482095114283823,52.39743893664363,Grünanlage,Dörferblick,,77696.58,1363.33,56.9905
