type,coordinates long,coordinates lat,category,name,info
Point,13.360813,52.56629204,"Öffentlicher ""Kühler Raum""",Seniorenfreizeitstätte Am Schäfersee,"Stargardtstr. 3, 13407 Berlin | Mo - Fr: 10:00 - 17:00 Uhr | rollstuhlgerecht | Es gibt Sitzgelegenheit und Toiletten. Es erfolgt keine medizinische Betreuung."
Point,13.318915,52.60643704,"Öffentlicher ""Kühler Raum""",Tageszentrum Waidmannslust,"Waidmannsluster Damm 174, 13469 Berlin | Mo - Do: 10:00 - 16:00 Uhr Fr: 10:00 - 15:00 Uhr | eingeschränkt rollstuhlgerecht | Es gibt Trinkwasser, Sitzgelegenheiten, Toiletten und Unterhaltungsangebote/Spiele. Es erfolgt keine medizinische Betreuung."
Point,13.324952,52.58951004,"Öffentlicher ""Kühler Raum""",Rathaus Reinickendorf - Haupthalle (Foyer),"Eichborndamm 215, 13437 Berlin | Mo - Fr: 06:00 - 20:00 Uhr | Rollstuhlgerecht | Es gibt Trinkwasser, Sitzgelegenheiten und Toiletten. Es erfolgt keine medizinische Betreuung."
Point,13.291996,52.63398404,"Öffentlicher ""Kühler Raum""",Johanneskirche,"Zeltinger Platz 18, 13465 Berlin | Mo - So: 10:00-18:00 Uhr (nicht während Veranstaltungen) | Rollstuhlgerecht | Es gibt Sitzgelegenheiten. Es erfolgt keine medizinische Betreuung."
Point,13.248884,52.61016404,"Öffentlicher ""Kühler Raum""",Raum der Stille im Diakoniezentrum Heiligensee,"Keilerstr. 19, 13503 Berlin | Mo - So: 08:00 - 21:00 Uhr | Rollstuhlgerecht | Es gibt Trinkwasser, Sitzgelegenheiten, Toiletten und Unterhaltungsangebote/Spiele. Es erfolgt keine medizinische Betreuung."
Point,13.352308,52.59608804,"Öffentlicher ""Kühler Raum""",Ev. Apostel-Petrus-Kirchengemeinde,"Wilhelmsruher Damm 161, 13439 Berlin | Mo-Fr: 9:00-15:00 Uhr | eingeschränkt rollstuhlgerecht | Es gibt Trinkwasser, Sitzgelegenheiten und Toiletten. Ein Aufzug ist vorhanden und wird von den Mitarbeitenen bedient. Es erfolgt keine medizinische Betreuung."
Point,13.226512,52.58158504,"Öffentlicher ""Kühler Raum""",Jesus-Christus-Kirche,"Schwarzspechtweg 1-3, 13505 Berlin | Fr, Sa: 12:00 - 18:00 Uhr; So: 10:00 - 18:00 Uhr | eingeschränkt rollstuhlgerecht | Es gibt Trinkwasser, Sitzgelegenheiten und Toiletten. Es erfolgt keine medizinische Betreuung."
Point,13.323507,52.57025004,"Öffentlicher ""Kühler Raum""",Segenskirche,"Auguste-Viktoria-Allee 16F, 13403 Berlin | Mo: 15:00 - 17:00 Uhr; Do: 16:00 - 18:00 Uhr | eingeschränkt rollstuhlgerecht | Es gibt Sitzgelegenheiten. Eine Rampe steht zur Verfügung. Die Nutzung ist möglich, sofern entsprechendes Personal vor Ort ist. Es erfolgt keine medizinische Betreuung."
Point,13.272686,52.54183304,"Öffentlicher ""Kühler Raum""",Christophoruskirche,"Schuckertdamm 336 - 340, 13629 Berlin | Offene Sommerkirche 1. Sonntag im Monat, 16:00 - 18:00 Uhr, 17:00 Uhr - 30 Minuten Konzert (Termine: 05.07., 02.08.) offene Kirche jeden Donnerstag von 16:00 -18:00 Uhr vom 07.05. bis 10.09. (ohne Programm mit Kirchwächter:innen) | rollstuhlgerecht | Es erfolgt keine medizinische Betreuung."
Point,13.140221,52.53088304,"Öffentlicher ""Kühler Raum""",Dorfkirche Alt-Staaken,"Nennhauser Damm 72, 13591 Berlin | Von April bis September an ausgewählten Samstagen und Sonntagen geöffnet: 20.06.: 10:00 - 16:00 Uhr 04.07.: 10:00 - 16:00 Uhr 18.07.: 10:00 - 16:00 Uhr 01.08.: 10:00 - 15:00 Uhr 29.08.: 10:00 - 15:00 Uhr 12.09.: 10:00 - 15:00 Uhr 26.09.: 10:00 - 15:00 Uhr | rollstuhlgerecht | Es ist ein rollstuhlgerechter Zugang vorhanden. Es ist keine Toilette vorhanden. Es erfolgt keine medizinische Betreuung."
Point,13.144479,52.45415204,"Öffentlicher ""Kühler Raum""",Dorfkirche Kladow,"Kladower Damm 369, 14089 Berlin | Mo - So: 08:00 - 18:00 Uhr | rollstuhlgerecht | Im Gemeindehaus in der Nähe (Kladower Damm 369, 14089 Berlin) ist ein Plattformlift vorhanden. Es erfolgt keine medizinische Betreuung."
Point,13.188953,52.52122404,"Öffentlicher ""Kühler Raum""",Melanchthon-Kirche,"Melanchthonplatz 1, 13595 Berlin | Di: 16:30 - 18:30 Uhr | nicht rollstuhlgerecht | Es erfolgt keine medizinische Betreuung."
Point,13.157625,52.54925004,"Öffentlicher ""Kühler Raum""",Paul-Gerhardt-Gemeindezentrum mit Café,"Im Spektefeld 26, 13589 Berlin | Mo: 10:00 - 18:00 Uhr; Di - Do: 10:00 - 20:00 Uhr; Fr: 13:00 - 16:00 Uhr | rollstuhlgerecht | Es erfolgt keine medizinische Betreuung."
